pair,family,condition,method,truth,prediction,correct,abstain
41,human_override,ordinary_trace,scm,operator,operator,1,0
41,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
41,human_override,receipt_revealed,outcome,operator,developer,0,0
41,human_override,receipt_revealed,causal,operator,operator,1,0
41,human_override,receipt_revealed,rule,operator,operator,1,0
41,human_override,receipt_revealed,scm,operator,operator,1,0
41,human_override,receipt_revealed,trace-r,operator,operator,1,0
42,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
42,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
42,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
42,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
42,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
42,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
42,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
42,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
42,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
42,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
43,human_override,ordinary_trace,outcome,operator,developer,0,0
43,human_override,ordinary_trace,causal,operator,developer,0,0
43,human_override,ordinary_trace,rule,operator,provider,0,0
43,human_override,ordinary_trace,scm,operator,operator,1,0
43,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
43,human_override,receipt_revealed,outcome,operator,developer,0,0
43,human_override,receipt_revealed,causal,operator,operator,1,0
43,human_override,receipt_revealed,rule,operator,operator,1,0
43,human_override,receipt_revealed,scm,operator,operator,1,0
43,human_override,receipt_revealed,trace-r,operator,operator,1,0
44,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
44,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
44,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
44,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
44,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
44,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
44,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
44,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
44,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
44,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
45,human_override,ordinary_trace,outcome,operator,developer,0,0
45,human_override,ordinary_trace,causal,operator,developer,0,0
45,human_override,ordinary_trace,rule,operator,provider,0,0
45,human_override,ordinary_trace,scm,operator,operator,1,0
45,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
45,human_override,receipt_revealed,outcome,operator,developer,0,0
45,human_override,receipt_revealed,causal,operator,operator,1,0
45,human_override,receipt_revealed,rule,operator,operator,1,0
45,human_override,receipt_revealed,scm,operator,operator,1,0
45,human_override,receipt_revealed,trace-r,operator,operator,1,0
46,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
46,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
46,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
46,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
46,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
46,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
46,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
46,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
46,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
46,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
47,human_override,ordinary_trace,outcome,operator,developer,0,0
47,human_override,ordinary_trace,causal,operator,developer,0,0
47,human_override,ordinary_trace,rule,operator,provider,0,0
47,human_override,ordinary_trace,scm,operator,operator,1,0
47,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
47,human_override,receipt_revealed,outcome,operator,developer,0,0
47,human_override,receipt_revealed,causal,operator,operator,1,0
47,human_override,receipt_revealed,rule,operator,operator,1,0
47,human_override,receipt_revealed,scm,operator,operator,1,0
47,human_override,receipt_revealed,trace-r,operator,operator,1,0
48,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
48,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
48,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
48,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
48,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
48,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
48,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
48,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
48,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
48,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
49,human_override,ordinary_trace,outcome,operator,developer,0,0
49,human_override,ordinary_trace,causal,operator,developer,0,0
49,human_override,ordinary_trace,rule,operator,provider,0,0
49,human_override,ordinary_trace,scm,operator,operator,1,0
49,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
49,human_override,receipt_revealed,outcome,operator,developer,0,0
49,human_override,receipt_revealed,causal,operator,operator,1,0
49,human_override,receipt_revealed,rule,operator,operator,1,0
49,human_override,receipt_revealed,scm,operator,operator,1,0
49,human_override,receipt_revealed,trace-r,operator,operator,1,0
50,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
50,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
50,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
50,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
50,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
50,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
50,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
50,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
50,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
50,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
51,human_override,ordinary_trace,outcome,operator,developer,0,0
51,human_override,ordinary_trace,causal,operator,developer,0,0
51,human_override,ordinary_trace,rule,operator,provider,0,0
51,human_override,ordinary_trace,scm,operator,operator,1,0
51,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
51,human_override,receipt_revealed,outcome,operator,developer,0,0
51,human_override,receipt_revealed,causal,operator,operator,1,0
51,human_override,receipt_revealed,rule,operator,operator,1,0
51,human_override,receipt_revealed,scm,operator,operator,1,0
51,human_override,receipt_revealed,trace-r,operator,operator,1,0
52,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
52,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
52,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
52,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
52,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
52,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
52,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
52,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
52,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
52,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
53,human_override,ordinary_trace,outcome,operator,developer,0,0
53,human_override,ordinary_trace,causal,operator,developer,0,0
53,human_override,ordinary_trace,rule,operator,provider,0,0
53,human_override,ordinary_trace,scm,operator,operator,1,0
53,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
53,human_override,receipt_revealed,outcome,operator,developer,0,0
53,human_override,receipt_revealed,causal,operator,operator,1,0
53,human_override,receipt_revealed,rule,operator,operator,1,0
53,human_override,receipt_revealed,scm,operator,operator,1,0
53,human_override,receipt_revealed,trace-r,operator,operator,1,0
54,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
54,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
54,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
54,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
54,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
54,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
54,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
54,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
54,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
54,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
55,human_override,ordinary_trace,outcome,operator,developer,0,0
55,human_override,ordinary_trace,causal,operator,developer,0,0
55,human_override,ordinary_trace,rule,operator,provider,0,0
55,human_override,ordinary_trace,scm,operator,operator,1,0
55,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
55,human_override,receipt_revealed,outcome,operator,developer,0,0
55,human_override,receipt_revealed,causal,operator,operator,1,0
55,human_override,receipt_revealed,rule,operator,operator,1,0
55,human_override,receipt_revealed,scm,operator,operator,1,0
55,human_override,receipt_revealed,trace-r,operator,operator,1,0
56,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
56,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
56,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
56,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
56,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
56,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
56,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
56,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
56,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
56,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
57,human_override,ordinary_trace,outcome,operator,developer,0,0
57,human_override,ordinary_trace,causal,operator,developer,0,0
57,human_override,ordinary_trace,rule,operator,provider,0,0
57,human_override,ordinary_trace,scm,operator,operator,1,0
57,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
57,human_override,receipt_revealed,outcome,operator,developer,0,0
57,human_override,receipt_revealed,causal,operator,operator,1,0
57,human_override,receipt_revealed,rule,operator,operator,1,0
57,human_override,receipt_revealed,scm,operator,operator,1,0
57,human_override,receipt_revealed,trace-r,operator,operator,1,0
58,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
58,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
58,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
58,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
58,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
58,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
58,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
58,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
58,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
58,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
59,human_override,ordinary_trace,outcome,operator,developer,0,0
59,human_override,ordinary_trace,causal,operator,developer,0,0
59,human_override,ordinary_trace,rule,operator,provider,0,0
59,human_override,ordinary_trace,scm,operator,operator,1,0
59,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
59,human_override,receipt_revealed,outcome,operator,developer,0,0
59,human_override,receipt_revealed,causal,operator,operator,1,0
59,human_override,receipt_revealed,rule,operator,operator,1,0
59,human_override,receipt_revealed,scm,operator,operator,1,0
59,human_override,receipt_revealed,trace-r,operator,operator,1,0
60,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
60,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
60,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
60,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
60,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
60,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
60,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
60,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
60,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
60,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
61,human_override,ordinary_trace,outcome,operator,developer,0,0
61,human_override,ordinary_trace,causal,operator,developer,0,0
61,human_override,ordinary_trace,rule,operator,provider,0,0
61,human_override,ordinary_trace,scm,operator,operator,1,0
61,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
61,human_override,receipt_revealed,outcome,operator,developer,0,0
61,human_override,receipt_revealed,causal,operator,operator,1,0
61,human_override,receipt_revealed,rule,operator,operator,1,0
61,human_override,receipt_revealed,scm,operator,operator,1,0
61,human_override,receipt_revealed,trace-r,operator,operator,1,0
62,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
62,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
62,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
62,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
62,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
62,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
62,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
62,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
62,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
62,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
63,human_override,ordinary_trace,outcome,operator,developer,0,0
63,human_override,ordinary_trace,causal,operator,developer,0,0
63,human_override,ordinary_trace,rule,operator,provider,0,0
63,human_override,ordinary_trace,scm,operator,operator,1,0
63,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
63,human_override,receipt_revealed,outcome,operator,developer,0,0
63,human_override,receipt_revealed,causal,operator,operator,1,0
63,human_override,receipt_revealed,rule,operator,operator,1,0
63,human_override,receipt_revealed,scm,operator,operator,1,0
63,human_override,receipt_revealed,trace-r,operator,operator,1,0
64,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
64,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
64,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
64,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
64,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
64,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
64,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
64,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
64,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
64,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
65,human_override,ordinary_trace,outcome,operator,developer,0,0
65,human_override,ordinary_trace,causal,operator,developer,0,0
65,human_override,ordinary_trace,rule,operator,provider,0,0
65,human_override,ordinary_trace,scm,operator,operator,1,0
65,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
65,human_override,receipt_revealed,outcome,operator,developer,0,0
65,human_override,receipt_revealed,causal,operator,operator,1,0
65,human_override,receipt_revealed,rule,operator,operator,1,0
65,human_override,receipt_revealed,scm,operator,operator,1,0
65,human_override,receipt_revealed,trace-r,operator,operator,1,0
66,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
66,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
66,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
66,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
66,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
66,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
66,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
66,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
66,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
66,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
67,human_override,ordinary_trace,outcome,operator,developer,0,0
67,human_override,ordinary_trace,causal,operator,developer,0,0
67,human_override,ordinary_trace,rule,operator,provider,0,0
67,human_override,ordinary_trace,scm,operator,operator,1,0
67,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
67,human_override,receipt_revealed,outcome,operator,developer,0,0
67,human_override,receipt_revealed,causal,operator,operator,1,0
67,human_override,receipt_revealed,rule,operator,operator,1,0
67,human_override,receipt_revealed,scm,operator,operator,1,0
67,human_override,receipt_revealed,trace-r,operator,operator,1,0
68,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
68,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
68,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
68,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
68,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
68,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
68,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
68,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
68,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
68,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
69,human_override,ordinary_trace,outcome,operator,developer,0,0
69,human_override,ordinary_trace,causal,operator,developer,0,0
69,human_override,ordinary_trace,rule,operator,provider,0,0
69,human_override,ordinary_trace,scm,operator,operator,1,0
69,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
69,human_override,receipt_revealed,outcome,operator,developer,0,0
69,human_override,receipt_revealed,causal,operator,operator,1,0
69,human_override,receipt_revealed,rule,operator,operator,1,0
69,human_override,receipt_revealed,scm,operator,operator,1,0
69,human_override,receipt_revealed,trace-r,operator,operator,1,0
70,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
70,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
70,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
70,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
70,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
70,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
70,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
70,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
70,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
70,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
71,human_override,ordinary_trace,outcome,operator,developer,0,0
71,human_override,ordinary_trace,causal,operator,developer,0,0
71,human_override,ordinary_trace,rule,operator,provider,0,0
71,human_override,ordinary_trace,scm,operator,operator,1,0
71,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
71,human_override,receipt_revealed,outcome,operator,developer,0,0
71,human_override,receipt_revealed,causal,operator,operator,1,0
71,human_override,receipt_revealed,rule,operator,operator,1,0
71,human_override,receipt_revealed,scm,operator,operator,1,0
71,human_override,receipt_revealed,trace-r,operator,operator,1,0
72,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
72,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
72,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
72,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
72,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
72,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
72,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
72,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
72,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
72,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
73,human_override,ordinary_trace,outcome,operator,developer,0,0
73,human_override,ordinary_trace,causal,operator,developer,0,0
73,human_override,ordinary_trace,rule,operator,provider,0,0
73,human_override,ordinary_trace,scm,operator,operator,1,0
73,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
73,human_override,receipt_revealed,outcome,operator,developer,0,0
73,human_override,receipt_revealed,causal,operator,operator,1,0
73,human_override,receipt_revealed,rule,operator,operator,1,0
73,human_override,receipt_revealed,scm,operator,operator,1,0
73,human_override,receipt_revealed,trace-r,operator,operator,1,0
74,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
74,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
74,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
74,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
74,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
74,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
74,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
74,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
74,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
74,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
75,human_override,ordinary_trace,outcome,operator,developer,0,0
75,human_override,ordinary_trace,causal,operator,developer,0,0
75,human_override,ordinary_trace,rule,operator,provider,0,0
75,human_override,ordinary_trace,scm,operator,operator,1,0
75,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
75,human_override,receipt_revealed,outcome,operator,developer,0,0
75,human_override,receipt_revealed,causal,operator,operator,1,0
75,human_override,receipt_revealed,rule,operator,operator,1,0
75,human_override,receipt_revealed,scm,operator,operator,1,0
75,human_override,receipt_revealed,trace-r,operator,operator,1,0
76,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
76,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
76,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
76,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
76,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
76,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
76,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
76,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
76,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
76,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
77,human_override,ordinary_trace,outcome,operator,developer,0,0
77,human_override,ordinary_trace,causal,operator,developer,0,0
77,human_override,ordinary_trace,rule,operator,provider,0,0
77,human_override,ordinary_trace,scm,operator,operator,1,0
77,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
77,human_override,receipt_revealed,outcome,operator,developer,0,0
77,human_override,receipt_revealed,causal,operator,operator,1,0
77,human_override,receipt_revealed,rule,operator,operator,1,0
77,human_override,receipt_revealed,scm,operator,operator,1,0
77,human_override,receipt_revealed,trace-r,operator,operator,1,0
78,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
78,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
78,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
78,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
78,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
78,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
78,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
78,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
78,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
78,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
79,human_override,ordinary_trace,outcome,operator,developer,0,0
79,human_override,ordinary_trace,causal,operator,developer,0,0
79,human_override,ordinary_trace,rule,operator,provider,0,0
79,human_override,ordinary_trace,scm,operator,operator,1,0
79,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
79,human_override,receipt_revealed,outcome,operator,developer,0,0
79,human_override,receipt_revealed,causal,operator,operator,1,0
79,human_override,receipt_revealed,rule,operator,operator,1,0
79,human_override,receipt_revealed,scm,operator,operator,1,0
79,human_override,receipt_revealed,trace-r,operator,operator,1,0
80,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
80,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
80,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
80,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
80,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
80,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
80,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
80,unauthorized_delegation,receipt_revealed,rule,agent_A,agent_A,1,0
80,unauthorized_delegation,receipt_revealed,scm,agent_A,agent_A,1,0
80,unauthorized_delegation,receipt_revealed,trace-r,agent_A,agent_A,1,0
81,human_override,ordinary_trace,outcome,operator,developer,0,0
81,human_override,ordinary_trace,causal,operator,developer,0,0
81,human_override,ordinary_trace,rule,operator,provider,0,0
81,human_override,ordinary_trace,scm,operator,operator,1,0
81,human_override,ordinary_trace,trace-r,operator,NOT_IDENTIFIABLE,0,1
81,human_override,receipt_revealed,outcome,operator,developer,0,0
81,human_override,receipt_revealed,causal,operator,operator,1,0
81,human_override,receipt_revealed,rule,operator,operator,1,0
81,human_override,receipt_revealed,scm,operator,operator,1,0
81,human_override,receipt_revealed,trace-r,operator,operator,1,0
82,unauthorized_delegation,ordinary_trace,outcome,agent_A,agent_B,0,0
82,unauthorized_delegation,ordinary_trace,causal,agent_A,agent_B,0,0
82,unauthorized_delegation,ordinary_trace,rule,agent_A,agent_B,0,0
82,unauthorized_delegation,ordinary_trace,scm,agent_A,agent_B,0,0
82,unauthorized_delegation,ordinary_trace,trace-r,agent_A,NOT_IDENTIFIABLE,0,1
82,unauthorized_delegation,receipt_revealed,outcome,agent_A,agent_B,0,0
82,unauthorized_delegation,receipt_revealed,causal,agent_A,agent_B,0,0
